taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	sinacCategory
7342629	Alouatta palliata palliata	7342629	Alouatta palliata palliata	80	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta palliata	2436649	EN	PE
4265380	Glyphonycteris sylvestris Thomas, 1896	4265380	Glyphonycteris sylvestris Thomas, 1896	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Glyphonycteris	4265378	Glyphonycteris sylvestris	4265380	LC	PE
4267245	Ateles geoffroyi geoffroyi	4267245	Ateles geoffroyi geoffroyi	27	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Ateles	2436640	Ateles geoffroyi	2436643	CR	PE
5787224	Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	2435146	Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	9	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma yagouaroundi	2435146	LC	PE
6164540	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	6164540	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus wiedii	2434950		PE
2439347	Rheomys underwoodi Thomas, 1906	2439347	Rheomys underwoodi Thomas, 1906	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Rheomys	2439345	Rheomys underwoodi	2439347	LC	PE
2436649	Alouatta palliata (Gray, 1849)	2436649	Alouatta palliata (Gray, 1849)	2633	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta palliata	2436649	VU	PE
2436643	Ateles geoffroyi Kuhl, 1820	2436643	Ateles geoffroyi Kuhl, 1820	776	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Ateles	2436640	Ateles geoffroyi	2436643	EN	PE
4266902	Saimiri oerstedii citrinellus Thomas, 1904	4266902	Saimiri oerstedii citrinellus Thomas, 1904	9	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri oerstedii	2436664	EN	PE
6164590	Puma concolor couguar (Kerr, 1792)	6164590	Puma concolor couguar (Kerr, 1792)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma concolor	2435099		PE
5219432	Panthera onca centralis (Mearns, 1901)	5219432	Panthera onca centralis (Mearns, 1901)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Panthera	2435194	Panthera onca	5219426		PE
2433293	Micronycteris nicefori Sanborn, 1949	4265371	Trinycteris nicefori (Sanborn, 1949)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Trinycteris	4265370	Trinycteris nicefori	4265371	LC	PE
5786089	Alouatta palliata aequatorialis (Festa, 1903)	5786089	Alouatta palliata aequatorialis (Festa, 1903)	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta palliata	2436649	VU	PE
6164577	Felis pardalis mearnsi J.A.Allen, 1904	6164575	Leopardus pardalis aequatorialis (Mearns, 1903)	7	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus pardalis	2434982		PE
6164576	Leopardus pardalis mearnsi (J.A.Allen, 1904)	6164575	Leopardus pardalis aequatorialis (Mearns, 1903)	2	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Leopardus	2434918	Leopardus pardalis	2434982		PE
5219959	Chironectes minimus argyrodytes Dickey, 1928	5219959	Chironectes minimus argyrodytes Dickey, 1928	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Didelphimorphia	783	Didelphidae	5455	Chironectes	2439977	Chironectes minimus	5219955		PE
5219958	Chironectes minimus panamensis Goldman, 1914	5219958	Chironectes minimus panamensis Goldman, 1914	11	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Didelphimorphia	783	Didelphidae	5455	Chironectes	2439977	Chironectes minimus	5219955		PE
5219426	Panthera onca (Linnaeus, 1758)	5219426	Panthera onca (Linnaeus, 1758)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Panthera	2435194	Panthera onca	5219426	NT	PE
6164624	Puma concolor costaricensis (Merriam, 1901)	6164624	Puma concolor costaricensis (Merriam, 1901)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma concolor	2435099		PE
7190918	Eretmochelys imbricata imbricata	7190918	Eretmochelys imbricata imbricata	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716		PE
8841716	Eretmochelys imbricata (Linnaeus, 1766)	8841716	Eretmochelys imbricata (Linnaeus, 1766)	65	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716	CR	PE
2459576	Ctenosaura quinquecarinata (Gray, 1842)	2459576	Ctenosaura quinquecarinata (Gray, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Iguanidae	6935	Ctenosaura	2459728	Ctenosaura quinquecarinata	2459576	DD	PE
2453664	Geophis talamancae Lips & Savage, 1994	2453664	Geophis talamancae Lips & Savage, 1994	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Geophis	2457023	Geophis talamancae	2453664	EN	PE
2453926	Trimetopon simile Dunn, 1930	2453926	Trimetopon simile Dunn, 1930	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Colubridae	6172	Trimetopon	2453919	Trimetopon simile	2453926	EN	PE
9789983	Dermochelys coriacea (Vandelli, 1761)	9789983	Dermochelys coriacea (Vandelli, 1761)	112	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Dermochelyidae	5464	Dermochelys	2441865	Dermochelys coriacea	9789983	VU	PE
2451344	Sceloporus squamosus Bocourt, 1874	2451344	Sceloporus squamosus Bocourt, 1874	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Phrynosomatidae	5016	Sceloporus	2451143	Sceloporus squamosus	2451344	LC	PE
6156745	Eretmochelys imbricata bissa (Rüppell, 1835)	6156745	Eretmochelys imbricata bissa (Rüppell, 1835)	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Testudines	793	Cheloniidae	9413	Eretmochelys	2442206	Eretmochelys imbricata	8841716		PE
